Ward name,Old code,New code,Population - 2015,Median Household income estimate (2012/13),% area that is open space - 2014
Haringey - Seven Sisters,00APGN,E05000278,16650,33500,"21,8"
Haringey - Stroud Green,00APGP,E05000279,12250,44780,"24,7"
Haringey - Tottenham Green,00APGQ,E05000280,15900,28920,"10,5"
Haringey - Tottenham Hale,00APGR,E05000281,17300,27340,29
Haringey - West Green,00APGS,E05000282,14050,31110,"38,2"
Haringey - White Hart Lane,00APGT,E05000283,13950,27010,"27,9"
Haringey - Woodside,00APGU,E05000284,15400,32010,"26,8"
Harrow - Belmont,00AQFY,E05000285,11650,42380,11
Harrow - Canons,00AQFZ,E05000286,13500,39890,"57,3"
Harrow - Edgware,00AQGA,E05000287,12050,33600,"14,9"
Harrow - Greenhill,00AQGB,E05000288,13100,37550,"7,7"
Harrow - Harrow on the Hill,00AQGC,E05000289,12850,39630,"43,4"
Harrow - Harrow Weald,00AQGD,E05000290,11650,36940,"56,3"
Harrow - Hatch End,00AQGE,E05000291,10950,42350,31
Harrow - Headstone North,00AQGF,E05000292,10400,44470,"49,5"
Harrow - Headstone South,00AQGG,E05000293,11600,39090,"14,4"
Harrow - Kenton East,00AQGH,E05000294,11500,32880,"7,2"
Harrow - Kenton West,00AQGJ,E05000295,11550,38400,"17,9"
Harrow - Marlborough,00AQGK,E05000296,13000,34450,"8,3"
Harrow - Pinner,00AQGL,E05000297,10300,43950,"28,6"
Harrow - Pinner South,00AQGM,E05000298,10650,49420,"22,2"
Harrow - Queensbury,00AQGN,E05000299,12350,35030,"23,3"
Harrow - Rayners Lane,00AQGP,E05000300,11450,40310,"10,7"
Harrow - Roxbourne,00AQGQ,E05000301,13150,32130,"15,3"
Harrow - Roxeth,00AQGR,E05000302,12000,35110,"18,4"
Harrow - Stanmore Park,00AQGS,E05000303,11450,39210,"45,8"
Harrow - Wealdstone,00AQGT,E05000304,11700,32080,"3,3"
Harrow - West Harrow,00AQGU,E05000305,10700,40210,"19,7"
Havering - Brooklands,00ARGC,E05000306,17100,35250,"44,9"
Havering - Cranham,00ARGD,E05000307,12650,42250,"55,9"
Havering - Elm Park,00ARGE,E05000308,12700,34730,"55,7"
Havering - Emerson Park,00ARGF,E05000309,12100,43790,"31,3"
Havering - Gooshays,00ARGG,E05000310,15400,29400,"68,4"
Havering - Hacton,00ARGH,E05000311,12600,39740,"24,2"
Havering - Harold Wood,00ARGJ,E05000312,13750,37010,"60,7"
Havering - Havering Park,00ARGK,E05000313,13200,33590,"75,2"
Havering - Heaton,00ARGL,E05000314,13200,29560,"45,3"
Havering - Hylands,00ARGM,E05000315,13150,39890,"26,1"
Havering - Mawneys,00ARGN,E05000316,13100,35820,"32,1"
Havering - Pettits,00ARGP,E05000317,13050,40010,"32,4"
Havering - Rainham and Wennington,00ARGQ,E05000318,13150,34470,79
Havering - Romford Town,00ARGR,E05000319,18700,37160,"8,1"
Havering - St. Andrew's,00ARGS,E05000320,13650,38130,"18,7"
Havering - South Hornchurch,00ARGT,E05000321,16550,33160,"45,1"
Havering - Squirrel's Heath,00ARGU,E05000322,13400,41740,"16,7"
Havering - Upminster,00ARGW,E05000323,12950,47580,82
Hillingdon - Barnhill,00ASGG,E05000324,14050,31800,"27,7"
Hillingdon - Botwell,00ASGH,E05000325,15950,30700,"32,2"
Hillingdon - Brunel,00ASGJ,E05000326,14750,34630,"40,5"
Hillingdon - Cavendish,00ASGK,E05000327,12100,43970,"17,7"
Hillingdon - Charville,00ASGL,E05000328,13200,35410,"44,9"
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,12600,47380,"33,4"
Hillingdon - Harefield,00ASGN,E05000330,7750,37990,"85,5"
Hillingdon - Heathrow Villages,00ASGP,E05000331,13250,33170,"29,5"
Hillingdon - Hillingdon East,00ASGQ,E05000332,13700,37250,"48,2"
Hillingdon - Ickenham,00ASGR,E05000333,10750,48770,"55,7"
Hillingdon - Manor,00ASGS,E05000334,11900,43460,"18,1"
Hillingdon - Northwood,00ASGT,E05000335,10850,46550,61
Hillingdon - Northwood Hills,00ASGU,E05000336,12050,43320,"33,3"
Hillingdon - Pinkwell,00ASGW,E05000337,15750,31830,"26,9"
Hillingdon - South Ruislip,00ASGX,E05000338,12950,40060,"62,8"
Hillingdon - Townfield,00ASGY,E05000339,14900,30430,"30,9"
Hillingdon - Uxbridge North,00ASGZ,E05000340,13100,41470,"34,4"
Hillingdon - Uxbridge South,00ASHA,E05000341,15000,34270,"25,9"
