LATITUDE,LONGITUDE,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
24.2712900000,92.6815300000,T,"60",6.1NRT,296.7500000000,5.6900000000,D
24.2698500000,92.6911600000,T,"57",6.1NRT,296.6900000000,4.9000000000,D
24.6209900000,89.7870400000,T,"61",6.1NRT,305.9200000000,11.8400000000,D
24.2089000000,92.6043400000,T,"84",6.1NRT,296.8100000000,23.5700000000,D
24.2074600000,92.6140700000,T,"62",6.1NRT,296.1000000000,6.4400000000,D
24.0942300000,92.5085900000,T,"78",6.1NRT,297.2400000000,15.5100000000,D
22.9110000000,99.2535600000,T,"63",6.1NRT,293.2000000000,20.8700000000,D
22.9146000000,99.2471100000,T,"69",6.1NRT,293.3200000000,31.0000000000,D
23.8696800000,93.6237000000,T,"81",6.1NRT,294.3900000000,21.5700000000,D
22.8593100000,97.3983400000,T,"65",6.1NRT,299.3400000000,13.5300000000,D
22.5126600000,97.7122900000,T,"64",6.1NRT,298.2500000000,19.0000000000,D
22.0560400000,98.1811100000,T,"81",6.1NRT,302.7900000000,50.3300000000,D
22.0292800000,98.2562100000,T,"64",6.1NRT,304.0400000000,21.9200000000,D
21.6248400000,99.5895400000,T,"70",6.1NRT,296.0300000000,39.8700000000,D
21.6331000000,99.5862700000,T,"46",6.1NRT,298.0500000000,22.5600000000,D
21.6198200000,99.5809000000,T,"44",6.1NRT,294.6200000000,18.6500000000,D
21.7474200000,98.7697100000,T,"52",6.1NRT,292.6400000000,20.4200000000,D
21.0318900000,101.7247200000,T,"52",6.1NRT,291.9600000000,29.5600000000,D
21.6356700000,96.9923100000,T,"64",6.1NRT,302.8000000000,18.5500000000,D
21.3923300000,97.8321500000,T,"40",6.1NRT,302.8500000000,18.2100000000,D
21.5834500000,96.6979800000,T,"48",6.1NRT,295.0300000000,14.6500000000,D
21.3810700000,97.4879900000,T,"75",6.1NRT,296.9800000000,34.8100000000,D
21.3778200000,97.5055300000,T,"85",6.1NRT,299.0100000000,65.4900000000,D
21.3846100000,97.4998600000,T,"92",6.1NRT,298.4300000000,110.6600000000,D
21.1714500000,97.2496300000,T,"47",6.1NRT,302.4000000000,17.0600000000,D
20.1811300000,102.2471200000,T,"56",6.1NRT,290.8400000000,34.0900000000,D
20.1791000000,102.2418800000,T,"55",6.1NRT,290.8700000000,35.4600000000,D
21.8544200000,92.8621900000,T,"64",6.1NRT,270.8000000000,9.6500000000,D
21.1755800000,96.5852300000,T,"49",6.1NRT,297.2000000000,16.4900000000,D
21.1726500000,96.6015000000,T,"27",6.1NRT,297.4600000000,12.1900000000,D
21.1734400000,96.5947900000,T,"68",6.1NRT,297.3400000000,26.3100000000,D
20.7442200000,98.3390300000,T,"42",6.1NRT,298.4300000000,13.1500000000,D
20.2976600000,100.5861200000,T,"59",6.1NRT,294.2900000000,35.6300000000,D
20.9603600000,97.0136200000,T,"77",6.1NRT,308.4900000000,22.1200000000,D
21.4333800000,93.9084400000,T,"92",6.1NRT,302.6300000000,52.6100000000,D
21.4317900000,93.9183300000,T,"67",6.1NRT,299.9400000000,13.3600000000,D
20.6809400000,97.6736700000,T,"60",6.1NRT,305.5000000000,30.0300000000,D
21.3540100000,93.5834400000,T,"81",6.1NRT,294.6500000000,23.9800000000,D
20.6730500000,96.5471400000,T,"66",6.1NRT,299.8800000000,19.3600000000,D
20.5055500000,97.4139100000,T,"67",6.1NRT,300.4900000000,33.8800000000,D
20.3725700000,96.2810200000,T,"41",6.1NRT,309.8700000000,23.8600000000,D
19.9312100000,98.7324700000,T,"67",6.1NRT,299.0700000000,34.7600000000,D
19.8596000000,98.9629800000,T,"85",6.1NRT,298.1500000000,96.1600000000,D
19.8555900000,98.9839600000,T,"89",6.1NRT,297.3900000000,135.7100000000,D
19.8418400000,98.9816300000,T,"29",6.1NRT,297.7100000000,39.4800000000,D
19.8324100000,98.9568900000,T,"84",6.1NRT,298.2500000000,91.1000000000,D
19.8281100000,98.9791500000,T,"69",6.1NRT,297.8000000000,71.7300000000,D
19.8359700000,98.9749400000,T,"41",6.1NRT,299.1000000000,72.6200000000,D
19.8266500000,98.9488100000,T,"69",6.1NRT,297.7300000000,46.3100000000,D
19.8223600000,98.9718400000,T,"68",6.1NRT,297.8600000000,61.8900000000,D
20.1695800000,96.7781800000,T,"61",6.1NRT,301.0100000000,19.4000000000,D
20.7270100000,93.0514400000,T,"57",6.1NRT,306.1800000000,12.1400000000,D
20.7254600000,93.0614900000,T,"91",6.1NRT,304.9200000000,35.3300000000,D
19.9091800000,97.8502100000,T,"50",6.1NRT,299.4700000000,18.9500000000,D
20.6416500000,92.7042800000,T,"48",6.1NRT,306.3300000000,10.5100000000,D
19.8375100000,96.8142100000,T,"72",6.1NRT,299.5300000000,29.8900000000,D
19.8421900000,96.8088200000,T,"48",6.1NRT,298.1500000000,16.4500000000,D
20.4465200000,92.9533100000,T,"72",6.1NRT,302.3100000000,10.2600000000,D
20.4449700000,92.9633100000,T,"82",6.1NRT,303.7800000000,16.9800000000,D
20.4373600000,92.9518100000,T,"76",6.1NRT,303.4300000000,10.5900000000,D
19.8427200000,96.3367900000,T,"81",6.1NRT,302.2200000000,40.3200000000,D
19.8438900000,96.3315700000,T,"80",6.1NRT,303.2800000000,35.1900000000,D
20.1797300000,94.0546000000,T,"75",6.1NRT,294.0300000000,19.9700000000,D
19.6657800000,96.8737900000,T,"79",6.1NRT,300.1500000000,40.2300000000,D
19.6541000000,96.8713600000,T,"22",6.1NRT,298.8600000000,20.8300000000,D
19.5722100000,97.3198900000,T,"40",6.1NRT,302.0600000000,17.7200000000,D
19.5936100000,97.1356200000,T,"68",6.1NRT,303.9100000000,17.5700000000,D
19.6594400000,96.8658400000,T,"77",6.1NRT,299.3800000000,55.3100000000,D
19.3172800000,96.7533300000,T,"80",6.1NRT,291.6100000000,55.0900000000,D
18.2413900000,102.1689100000,T,"49",6.1NRT,292.2900000000,44.2800000000,D
19.3108700000,96.7460500000,T,"77",6.1NRT,291.8200000000,48.0700000000,D
19.3081200000,96.7618700000,T,"46",6.1NRT,292.2300000000,19.1900000000,D
19.7645100000,93.8258400000,T,"73",6.1NRT,297.3300000000,19.8200000000,D
19.4289000000,95.5053300000,T,"54",6.1NRT,308.3900000000,15.4500000000,D
19.3530200000,95.4346700000,T,"80",6.1NRT,306.3900000000,19.0900000000,D
19.3506300000,95.4485000000,T,"78",6.1NRT,306.6300000000,14.6600000000,D
19.3090300000,95.0894300000,T,"67",6.1NRT,307.0000000000,9.2100000000,D
19.3007300000,94.7797800000,T,"78",6.1NRT,306.6300000000,16.3500000000,D
19.2905500000,94.7779600000,T,"60",6.1NRT,307.6400000000,14.2200000000,D
19.1659900000,94.8588900000,T,"35",6.1NRT,305.2500000000,8.6700000000,D
19.1516100000,94.8821500000,T,"61",6.1NRT,305.1600000000,9.5600000000,D
18.6522500000,97.4304900000,T,"50",6.1NRT,300.5300000000,22.5300000000,D
19.0898500000,94.8715100000,T,"94",6.1NRT,306.0400000000,69.1500000000,D
19.0877200000,94.8841300000,T,"83",6.1NRT,304.6700000000,26.7100000000,D
19.0692900000,94.8678100000,T,"52",6.1NRT,303.0300000000,8.5800000000,D
19.1002500000,94.6960400000,T,"45",6.1NRT,292.4600000000,15.0600000000,D
19.0227400000,95.0393400000,T,"65",6.1NRT,306.2200000000,12.0800000000,D
18.8494000000,95.0354000000,T,"74",6.1NRT,296.1000000000,21.0000000000,D
18.7353000000,95.5206600000,T,"64",6.1NRT,297.0000000000,11.8500000000,D
